Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Sum (Tagalog + Ilocano),"Ratio, Ilocano-Tagalog",Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
59012,Esquimalt—Saanich—Sooke,British Columbia,"120,170",65,54.09003911,"1,295",1077.64001,"1,360",0.05019305,80,66.57235583,"1,010",840.4759923,"1,635",1360.572522,"1,030",857.1190813,"1,100",915.3698927,405,337.0225514
59013,Fleetwood—Port Kells,British Columbia,"117,423",530,451.3596144,6890,5867.674987,7420,0.076923077,270,229.9379168,"5,950",5067.150388,"23,695",20179.18125,"2,335",1988.537169,"1,505",1281.69098,"2,130",1813.954677
59014,Kamloops—Shuswap—Central Rockies,British Columbia,"109,218",20,18.31199985,415,379.973997,435,0.048192771,25,22.88999982,200,183.1199985,475,434.9099965,175,160.2299987,315,288.4139977,90,82.40399934
59015,Kamloops—Thompson—Nicola,British Columbia,"111,707",25,22.37997619,440,393.8875809,465,0.056818182,25,22.37997619,435,389.4115857,"1,735",1553.170347,250,223.7997619,370,331.2236476,100,89.51990475
59016,Kelowna,British Columbia,"105,736",75,70.93137626,990,936.2941666,1065,0.075757576,65,61.47385942,700,662.0261784,"2,630",2487.326927,405,383.0294318,900,851.1765151,500,472.8758417
59017,Langley Township—Fraser Heights,British Columbia,"117,251",85,72.49405122,"1,520",1296.36421,"1,605",0.055921053,40,34.11484763,"7,585",6469.027983,"3,415",2912.555117,"1,555",1326.214702,"1,390",1185.490955,645,550.1019181
59018,Mission—Matsqui—Abbotsford,British Columbia,"118,415",50,42.22438036,650,548.9169446,700,0.076923077,25,21.11219018,645,544.6945066,"19,260",16264.83131,385,325.1277288,845,713.592028,295,249.1238441
59019,Nanaimo—Ladysmith,British Columbia,"122,857",35,28.48840522,715,581.9774209,750,0.048951049,45,36.62794957,"1,205",980.815094,"1,080",879.0707896,355,288.9538244,610,496.5122052,425,345.9306348
59020,New Westminster—Burnaby—Maillardville,British Columbia,"114,665",235,204.9448393,"4,470",3898.312475,"4,705",0.052572707,175,152.6184974,"5,595",4879.431387,"4,405",3841.625605,"5,230",4561.112807,"2,615",2280.556403,"1,120",976.7583831
59021,North Island—Powell River,British Columbia,"125,925",30,23.82370459,485,385.1498908,515,0.06185567,45,35.73555688,300,238.2370459,310,246.1782807,275,218.3839587,455,361.3261862,110,87.35358348
59022,North Vancouver—Capilano,British Columbia,"116,055",375,323.1226574,"2,120",1826.72009,"2,495",0.176886793,70,60.31622937,"3,765",3244.15148,480,413.5970014,"1,665",1434.664599,"2,105",1813.795183,455,392.0554909
59023,Okanagan Lake West—South Kelowna,British Columbia,"106,794",35,32.77337678,435,407.3262543,470,0.08045977,10,9.363821938,525,491.6006517,810,758.4695769,245,229.4136375,720,674.1951795,125,117.0477742
59024,Pitt Meadows—Maple Ridge,British Columbia,"116,916",50,42.76574635,1680,1436.929077,1730,0.029761905,65,55.59547025,"1,685",1441.205652,"1,920",1642.20466,850,727.0176879,"1,335",1141.845427,470,401.9980157
