Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
35036,Hamilton Centre,Ontario,"126,188",90,71.32215425,1040,824.1671157,30,23.77405142,"1,035",820.2047738,355,281.3262751,585,463.5940026,"2,630",2084.191841,"2,240",1775.129172
35037,Hamilton East—Stoney Creek,Ontario,"126,570",50,39.50383187,840,663.6643754,50,39.50383187,315,248.8741408,"3,575",2824.523979,280,221.2214585,"2,150",1698.66477,"2,910",2299.123015
35038,Hamilton Mountain,Ontario,"115,634",185,159.9875469,2265,1958.766453,60,51.88785305,635,549.1464448,845,730.7539305,720,622.6542366,"2,555",2209.557743,"3,445",2979.227563
35039,Hamilton West—Ancaster—Dundas,Ontario,"120,551",55,45.62384385,680,564.0766149,35,29.03335518,"2,850",2364.144636,855,709.2433908,840,696.8005243,"1,810",1501.439225,"3,290",2729.135387
35040,Hastings—Lennox and Addington—Tyendinaga,Ontario,"106,468",10,9.392493519,125,117.406169,5,4.69624676,115,108.0136755,110,103.3174287,75,70.44370139,235,220.7235977,80,75.13994815
35041,Humber River—Black Creek,Ontario,"111,593",770,690.0074377,4310,3862.249424,155,138.8976011,720,645.20176,"1,995",1787.746543,"1,765",1581.640425,"7,735",6931.438352,"1,045",936.4386655
35042,Huron—Bruce,Ontario,"112,929",5,4.42756068,170,150.5370631,15,13.28268204,100,88.55121359,145,128.3992597,55,48.70316748,275,243.5158374,175,154.9646238
35043,Kanata,Ontario,"121,458",60,49.39979252,650,535.164419,40,32.93319501,"5,760",4742.380082,775,638.0806534,"1,510",1243.228112,"1,510",1243.228112,"3,525",2902.237811
35044,Kapuskasing—Timmins—Mushkegowuk,Ontario,"93,948",15,15.96627922,175,186.2732575,10,10.64418615,50,53.22093073,445,473.6662835,85,90.47558224,125,133.0523268,40,42.57674458
35045,Kenora—Kiiwetinoong,Ontario,"61,962",20,32.27784771,200,322.7784771,25,40.34730964,20,32.27784771,80,129.1113909,35,56.4862335,60,96.83354314,25,40.34730964
35046,Kingston and the Islands,Ontario,"134,415",45,33.47840643,515,383.1417625,25,18.59911468,"1,630",1212.662277,520,386.8615854,445,331.0642413,"1,080",803.4817543,"1,230",915.0764424
35047,King—Vaughan,Ontario,"124,401",90,72.34668532,1225,984.7187724,15,12.05778089,"5,185",4167.972926,"1,960",1575.550036,"2,315",1860.917517,"2,715",2182.45834,"1,175",944.5261694
35048,Kitchener Centre,Ontario,"113,404",20,17.63606222,385,339.4941977,30,26.45409333,885,780.3957532,945,833.3039399,340,299.8130577,"2,185",1926.739798,"2,050",1807.696378
