Number,Riding (2023 Representation Order),Province/Territory,Population (2021 Census),Ilocano Mother Tongue,Ilocano per 100K,Tagalog Mother Tongue,Tagalog per 100K,Cebuano Mother Tongue,Cebuano per 100K,Mandarin Mother Tongue,Mandarin per 100K,Punjabi Mother Tongue,Punjabi per 100K,Cantonese Mother Tongue,Cantonese per 100K,Spanish Mother Tongue,Spanish per 100K,Arabic Mother Tongue,Arabic per 100K
24012,Berthier—Maskinongé,Quebec,"108,640",0,0,80,73.6377025,0,0,35,32.21649485,0,0,5,4.602356406,505,464.8379971,145,133.4683358
24013,Bourassa,Quebec,"105,637",0,0,55,52.06509083,5,4.733190075,175,165.6616526,105,99.39699158,260,246.1258839,"7,560",7156.583394,"7,885",7464.240749
24014,Brome—Missisquoi,Quebec,"113,913",0,0,40,35.11451722,5,4.389314652,90,79.00766374,0,0,5,4.389314652,555,487.2139264,115,100.954237
24015,Brossard—Saint-Lambert,Quebec,"114,286",15,13.12496719,365,319.3742016,20,17.49995625,"6,650",5818.735453,360,314.9992125,"4,840",4234.989413,"5,870",5136.237159,"5,195",4545.613636
24016,Charlesbourg—Haute-Saint-Charles,Quebec,"113,308",0,0,25,22.06375543,0,0,70,61.7785152,0,0,75,66.19126628,1115,984.0434921,790,697.2146715
24017,Châteauguay—Les Jardins-de-Napierville,Quebec,"114,947",20,17.39932317,160,139.1945853,10,8.699661583,300,260.9898475,105,91.34644662,55,47.84813871,"2,250",1957.423856,"1,135",987.4115897
24018,Chicoutimi—Le Fjord,Quebec,"92,460",0,0,10,10.81548778,0,0,45,48.669695,0,0,5,5.407743889,245,264.9794506,260,281.2026822
24019,Compton—Stanstead,Quebec,"113,282",0,0,25,22.06881941,5,4.413763881,170,150.067972,5,4.413763881,25,22.06881941,"1,055",931.304179,310,273.6533606
24020,Côte-du-Sud—Rivière-du-Loup—Kataskomiq—Témiscouata,Quebec,"116,216",0,0,45,38.72100227,5,4.302333586,35,30.1163351,0,0,5,4.302333586,320,275.3493495,150,129.0700076
24021,Côte-Nord—Kawawachikamach—Nitassinan,Quebec,"88,525",0,0,40,45.184976,0,0,15,16.944366,0,0,10,11.296244,180,203.332392,145,163.795538
24022,Dorval—Lachine—LaSalle,Quebec,"114,661",105,91.57429292,840,732.5943433,25,21.80340308,"3,985",3475.46245,"3,925",3423.134283,"1,085",946.2676935,"3,840",3349.002712,"2,565",2237.029156
24023,Drummond,Quebec,"107,967",0,0,50,46.31044671,0,0,110,101.8829828,0,0,15,13.89313401,"1,225",1134.605944,720,666.8704326
24024,Gaspésie—Les Îles-de-la-Madeleine—Listuguj,Quebec,"110,225",0,0,30,27.21705602,5,4.536176004,20,18.14470401,5,4.536176004,0,0,160,145.1576321,80,72.57881606
24025,Gatineau,Quebec,"109,624",0,0,115,104.9040356,10,9.122090053,285,259.9795665,25,22.80522513,55,50.17149529,"1,810",1651.0983,"2,905",2649.96716
24026,Hochelaga—Rosemont-Est,Quebec,"110,039",5,4.543843546,85,77.24534029,0,0,960,872.4179609,100,90.87687093,565,513.4543207,"4,985",4530.212016,"4,505",4094.003035
24027,Honoré-Mercier,Quebec,"105,434",0,0,40,37.93842593,0,0,295,279.7958913,130,123.2998843,400,379.3842593,"5,230",4960.449191,"5,250",4979.418404
24028,Hull—Aylmer,Quebec,"105,559",10,9.473375079,280,265.2545022,70,66.31362556,"1,060",1004.177758,115,108.9438134,170,161.0473763,"2,505",2373.080457,"3,215",3045.690088
24029,Joliette—Manawan,Quebec,"104,882",0,0,40,38.13809805,0,0,25,23.83631128,5,4.767262257,20,19.06904903,735,700.7875517,335,319.4065712
24030,Jonquière,Quebec,"91,061",0,0,10,10.98164966,5,5.490824832,20,21.96329933,0,0,5,5.490824832,170,186.6880443,70,76.87154764
24031,La Pointe-de-l'Île,Quebec,"110,486",5,4.525460239,35,31.67822168,0,0,550,497.8006263,30,27.15276144,420,380.1386601,"4,620",4181.525261,"2,655",2403.019387
24032,La Prairie—Atateken,Quebec,"114,968",5,4.349036254,90,78.28265256,5,4.349036254,"1,810",1574.351124,160,139.1691601,520,452.2997704,"3,295",2866.014891,"1,575",1369.94642
24033,Lac-Saint-Jean,Quebec,"92,031",0,0,5,5.43295194,0,0,5,5.43295194,0,0,5,5.43295194,140,152.1226543,35,38.03066358
24034,Lac-Saint-Louis,Quebec,"110,093",100,90.83229633,830,753.9080595,20,18.16645927,"5,305",4818.65332,690,626.7428447,860,781.1577484,"2,530",2298.057097,"3,675",3338.08689
24035,LaSalle—Émard—Verdun,Quebec,"112,298",30,26.71463428,305,271.5987818,20,17.80975618,"2,825",2515.628061,980,872.678053,835,743.5573207,"4,395",3913.693922,"2,035",1812.142692
24036,Laurentides—Labelle,Quebec,"92,897",0,0,20,21.52922053,0,0,50,53.82305134,0,0,20,21.52922053,420,452.1136312,100,107.6461027
24037,Laurier—Sainte-Marie,Quebec,"115,704",0,0,120,103.7129226,15,12.96411533,"1,870",1616.193044,180,155.5693839,"1,255",1084.664316,"4,930",4260.872571,"3,245",2804.570283
24038,Laval—Les Îles,Quebec,"111,784",20,17.89164818,290,259.4288986,5,4.472912045,640,572.5327417,"1,255",1122.700923,335,299.685107,"2,805",2509.303657,"10,115",9048.701066
24039,Les Pays-d'en-Haut,Quebec,"106,834",5,4.680158002,25,23.40079001,5,4.680158002,70,65.52221203,0,0,10,9.360316004,600,561.6189603,210,196.5666361
24040,Lévis—Lotbinière,Quebec,"112,830",0,0,25,22.15722769,0,0,75,66.47168306,0,0,10,8.862891075,555,491.8904547,375,332.3584153
24041,Longueuil—Charles-LeMoyne,Quebec,"112,257",25,22.27032613,155,138.076022,5,4.454065225,"1,100",979.8943496,95,84.62723928,615,547.8500227,"5,375",4788.120117,"3,580",3189.110701
24042,Longueuil—Saint-Hubert,Quebec,"115,082",0,0,95,82.54983403,15,13.03418432,605,525.7121009,45,39.10255296,275,238.9600459,"4,845",4210.041536,"3,010",2615.52632
24043,Louis-Hébert,Quebec,"106,117",0,0,30,28.27068236,5,4.711780393,400,376.9424315,0,0,65,61.25314511,"2,340",2205.113224,"3,380",3185.163546
24044,Louis-Saint-Laurent—Akiawenhrahk,Quebec,"113,220",0,0,15,13.24854266,0,0,105,92.73979862,0,0,30,26.49708532,"1,120",989.2245186,740,653.5947712
24045,Marc-Aurèle-Fortin,Quebec,"104,636",10,9.55694025,120,114.683283,0,0,335,320.1574984,260,248.4804465,205,195.9172751,"3,190",3048.66394,"7,395",7067.357315
24046,Mégantic—L'Érable—Lotbinière,Quebec,"103,114",0,0,60,58.1880249,0,0,25,24.24501038,0,0,5,4.849002075,715,693.4072968,245,237.6011017
24047,Mirabel,Quebec,"100,598",5,4.970277739,35,34.79194417,5,4.970277739,90,89.4649993,45,44.73249965,25,24.8513887,"1,125",1118.312491,"1,000",994.0555478
24048,Mount Royal,Quebec,"112,706",980,869.5189253,5545,4919.880042,340,301.6698312,"2,770",2457.72186,770,683.1934413,680,603.3396625,"3,100",2750.51905,"4,200",3726.50968
24049,Mont-Saint-Bruno—L'Acadie,Quebec,"111,323",0,0,45,40.4229135,5,4.491434834,490,440.1606137,55,49.40578317,175,157.2002192,"2,340",2101.991502,"1,460",1311.498971
24050,Montcalm,Quebec,"111,954",0,0,30,26.79672008,5,4.466120014,60,53.59344016,5,4.466120014,15,13.39836004,"1,180",1054.004323,470,419.8152813
24051,Montmorency—Charlevoix,Quebec,"101,119",0,0,0,0,5,4.944669152,45,44.50202237,0,0,5,4.944669152,350,346.1268407,190,187.8974278
